image,latitude,longitude,altitude,azimuth,elevation
IMG_20131125_103352_,40.9550047,-76.881746,0.0,19.29431964106576,37.65533240870612,
IMG_20131126_082742_,40.9549729,-76.8817634,0.0,96.30250491959407,-22.966083286728335,
